cltv_total_initial,first_suggested_product_max_amount,weight
7905.706461,20000,0.5
27703.91875,100000,1
24061.48622,40000,1
52143.95819,100000,1
17138.45008,50000,1
2635.340701,30000,1
15920.43689,75000,1
6110.094992,35000,1
10439.11061,22000,0.5
36946.89176,50000,1
10945.69634,20000,0.5
5233.478064,38000,1
10292.75174,45000,1
24184.97846,50000,1
2658.643538,20000,0.5
-977.8622178,48000,1
2603.356776,18522,0.5
3014.487039,87500,1
5926.612669,20000,0.5
1753.542554,35000,1
9987.63746,25000,0.5
24765.75343,75000,1
19219.69908,150000,1
17375.77073,40000,1
15768.48495,60000,1
8467.08522,40000,1
8287.700235,70000,1
6267.659835,25000,0.5
5900.854915,50000,1
9654.425966,60000,1
9820.647359,50000,1
38997.92238,100000,1
8296.075437,50000,1
13606.59667,120000,1
8320.914511,20000,0.5
2612.775161,28000,1
67810.60826,200000,1
6749.064358,20000,0.5
2905.238793,37170,1
5356.20931,45000,1
11460.38922,25000,0.5
16442.93869,100000,1
13250.71911,50000,1
6561.37112,30000,1
7266.213423,30000,1
6662.650989,20000,0.5
13605.14853,120000,1
19827.64189,75000,1
23531.18101,134600,1
25064.62155,200000,1
9610.121,45000,1
10921.06319,30000,1
3277.107147,75000,1
2716.502059,35000,1
11614.21282,25000,0.5
35387.18578,100000,1
6287.345341,20000,0.5
7574.133596,85000,1
4351.261868,50000,1
12581.60376,30000,1
41531.62418,100000,1
3298.391307,20000,0.5
6275.669846,40000,1
35142.35827,100000,1
34775.58436,100000,1
13428.32933,30000,1
2086.11954,16200,0.5
5794.798458,75000,1
6769.602872,25000,0.5
2058.440307,50000,1
38299.00655,100000,1
3759.997455,50000,1
5792.669681,20000,0.5
7061.075055,30000,1
6603.570756,30000,1
5792.949705,50000,1
2595.130654,20000,0.5
16121.71903,30000,1
4629.284186,20000,0.5
4629.864539,20000,0.5
13394.888,25000,0.5
21459.73546,200000,1
29627.41905,60000,1
7015.164338,50000,1
20495.24874,100000,1
8649.427568,20000,0.5
7851.601267,50000,1
26858.31091,50000,1
27560.58301,150000,1
34461.51557,100000,1
4833.93789,20000,0.5
11147.96482,80000,1
4240.981611,40000,1
4829.419363,80000,1
1377.137535,20000,0.5
7660.956242,25000,0.5
54964.56667,200000,1
1546.731196,15001,0.5
9503.187217,30000,1
18764.98603,40000,1
7006.320916,35000,1
12677.05988,30000,1
4908.100528,20000,0.5
10116.91222,50000,1
7683.122401,40000,1
9007.797161,50000,1
11370.63288,30000,1
4646.203932,30000,1
45723.04335,150000,1
61545.73791,200000,1
29570.53521,50000,1
6417.132475,20000,0.5
1578.751213,16000,0.5
25294.4337,50000,1
5318.205828,35000,1
15294.92768,100000,1
2399.455815,16000,0.5
30076.18654,100000,1
7176.859986,20000,0.5
14876.81766,25000,0.5
8866.585674,30000,1
12698.85908,50000,1
79953.33681,200000,1
4257.38386,50000,1
19767.81688,100000,1
9816.152474,20000,0.5
96446.05199,200000,1
3205.11218,20000,0.5
3198.105092,25000,0.5
8126.634322,50000,1
7655.3755,20000,0.5
6088.466165,25000,0.5
7539.687326,113000,1
8909.832632,20000,0.5
18457.6306,90000,1
17231.93572,50000,1
23364.7962,100000,1
7859.075905,25000,0.5
5912.766457,20000,0.5
22242.76796,100000,1
20902.74718,40000,1
37455.79366,75000,1
11116.58928,60000,1
7933.251771,30000,1
5482.132893,30000,1
13943.14028,23166,0.5
35221.52372,110000,1
5493.180228,21900,0.5
10507.68734,50000,1
27111.09252,145000,1
26865.37577,50000,1
15457.1598,30000,1
3551.699084,20000,0.5
3857.680384,20000,0.5
5214.046502,25000,0.5
1001.247761,25000,0.5
19470.96695,150000,1
37120.01374,150000,1
28082.15348,50000,1
13267.95223,50000,1
22932.06361,80000,1
4012.707625,20000,0.5
4308.711106,20000,0.5
10966.74382,50000,1
17565.0806,50000,1
7133.792258,100000,1
37191.71838,100000,1
3021.141232,20000,0.5
7395.235586,25000,0.5
8593.699271,25000,0.5
7927.565817,20000,0.5
20191.63931,50000,1
17906.13515,25000,0.5
13782.43687,47100,1
42616.46739,200000,1
2624.069574,27000,1
10929.26361,35000,1
3187.336312,20000,0.5
16165.04227,92997,1
7767.397903,120000,1
4553.00128,20000,0.5
21811.34977,100000,1
32737.80765,200000,1
26242.89024,50000,1
5920.885077,20000,0.5
19988.4598,40000,1
3761.205977,22000,0.5
17487.4179,200000,1
3625.799788,26369,1
6513.151909,25200,1
6644.523118,38000,1
5480.169505,48000,1
19261.48496,200000,1
168.8023445,50000,1
13985.2173,25000,0.5
15092.8167,74000,1
9952.069777,20000,0.5
5309.754297,33000,1
4723.481747,40000,1
6802.275097,25000,0.5
5741.035478,19700,0.5
9068.595324,20000,0.5
3195.706302,20000,0.5
3641.838694,16000,0.5
4342.408558,20000,0.5
21854.01792,50000,1
7481.696251,30000,1
10130.21654,50000,1
1609.94061,20000,0.5
9863.78558,20000,0.5
22201.25094,50000,1
11947.0273,50000,1
2152.576291,20000,0.5
2256.548862,20000,0.5
14136.29127,75000,1
6473.003498,32500,1
8129.21744,20000,0.5
6064.228806,20000,0.5
9875.170807,17000,0.5
-13208.09174,80000,1
6064.614338,62471,1
11809.67602,100000,1
20132.42328,100000,1
5153.094084,65000,1
3315.553896,20000,0.5
29055.1665,50000,1
20664.71907,75000,1
6762.630499,20000,0.5
2447.517452,17000,0.5
2854.545797,16200,0.5
5270.927582,20000,0.5
5652.206978,28000,1
12113.66875,35000,1
12542.83331,25000,0.5
6489.532608,30000,1
53644.92085,150000,1
18627.05734,50000,1
7152.882313,35000,1
6136.316425,16000,0.5
69471.83879,100000,1
2707.153837,35000,1
24499.22274,50000,1
456.2181865,50000,1
12464.47598,40000,1
87660.46609,200000,1
31355.01412,60000,1
4318.776926,15800,0.5
6620.292256,30000,1
5021.373114,22900,0.5
8543.818327,20000,0.5
18416.68175,56279,1
6200.27683,20000,0.5
17529.85491,80000,1
7060.067196,36000,1
7958.63215,25000,0.5
42236.93017,100000,1
47704.52612,100000,1
6251.277595,30000,1
11468.77532,20000,0.5
4973.252,25000,0.5
4871.534396,20000,0.5
10073.55347,20000,0.5
12903.60584,20000,0.5
191.0230328,27000,1
14040.84365,40000,1
10564.75639,74300,1
7840.175653,25000,0.5
8546.012205,37900,1
6031.718295,31000,1
-2784.18836,25000,0.5
22932.88011,35000,1
1189.826718,23000,0.5
1327.382858,20000,0.5
19670.44843,40000,1
12585.45711,20000,0.5
5936.089257,20000,0.5
4243.39633,20000,0.5
20386.87664,50000,1
48885.17919,100000,1
8695.967796,40000,1
26764.54968,50000,1
42061.49763,90000,1
199.0444128,35000,1
2951.86204,25000,0.5
7639.316441,150000,1
1345.134222,20000,0.5
8471.138177,50000,1
4298.025006,21200,0.5
21150.20272,50000,1
8031.976446,20000,0.5
6653.856063,22786,0.5
9020.86869,20000,0.5
27616.08605,180000,1
10092.43476,19383,0.5
11521.19107,20000,0.5
8006.839501,35000,1
7485.739066,17500,0.5
4354.613321,20000,0.5
7120.844646,40000,1
11718.63868,20000,0.5
11805.0592,30000,1
21527.13138,150000,1
21335.45429,50000,1
149725.4824,150000,1
27384.80276,50000,1
13195.43938,30000,1
5046.815367,25000,0.5
8416.08349,30000,1
12522.69717,25000,0.5
12400.0403,25000,0.5
1719.039005,19200,0.5
4118.700401,20000,0.5
9115.858411,20000,0.5
906.2879788,15699,0.5
26395.09878,30000,1
85977.32386,180000,1
9347.059607,20000,0.5
10323.39829,30000,1
13788.82286,40000,1
-1254.111594,20000,0.5
31623.39564,50000,1
6616.967509,30000,1
22652.9694,200000,1
5194.630329,18000,0.5
18495.77119,50000,1
58935.93881,50000,1
18978.21451,89500,1
6918.296027,20000,0.5
10756.15845,20000,0.5
6734.912007,39753,1
43521.4968,200000,1
2714.092145,22000,0.5
8520.484899,50000,1
14594.20896,20000,0.5
3239.781615,17000,0.5
37761.19761,150000,1
6682.167914,19000,0.5
5796.454482,25000,0.5
9860.436146,100000,1
22586.4096,110000,1
31408.54587,200000,1
19538.66096,50000,1
7740.786889,50000,1
55674.31293,125000,1
17034.09792,30000,1
10683.47413,100000,1
17250.28807,35000,1
3350.518828,30000,1
7720.440738,28000,1
10128.43839,30000,1
7878.417883,27000,1
14874.10776,50000,1
1081.676505,20000,0.5
8696.006037,20000,0.5
7336.981537,20000,0.5
5700.039217,36759,1
30904.18707,88000,1
12725.55592,20000,0.5
46900.3997,200000,1
6290.888229,40000,1
8835.779894,45000,1
10581.06414,30000,1
20257.55053,70000,1
75.06666837,20000,0.5
44050.05819,150000,1
18689.60858,50000,1
5940.477495,20000,0.5
13083.36035,60000,1
10417.2295,20000,0.5
1616.545806,33800,1
11052.48716,40000,1
66361.34925,100000,1
71733.96019,100000,1
6842.095786,20000,0.5
17993.43078,40000,1
3617.385391,75000,1
20810.59303,50000,1
20884.02697,50000,1
4545.766972,30000,1
11931.85951,25000,0.5
1877.230037,32000,1
30239.9371,150000,1
7971.067322,25000,0.5
29804.17541,50000,1
11089.43373,60000,1
274.7913397,17000,0.5
6200.749769,25000,0.5
7973.342848,20000,0.5